TripID,TimestampUTC,Longitude,Latitude,TripFlag
86900002,2015-08-21 15:40:20,-159.40361,22.229494,0
86900002,2015-08-21 15:43:20,-159.412405396373,22.2391854788121,0
86900002,2015-08-21 15:46:20,-159.426321209685,22.24753448245,0
86900002,2015-08-21 15:49:20,-159.441194761996,22.2559786297148,0
86900002,2015-08-21 15:52:20,-159.457510293576,22.2612955916854,0
86900002,2015-08-21 15:55:20,-159.473801917017,22.2642674108674,0
86900002,2015-08-21 15:58:20,-159.487981150213,22.269246496164,0
86900002,2015-08-21 16:01:20,-159.497919170319,22.2736814974574,0
86900002,2015-08-21 16:04:20,-159.503366636325,22.2830464285383,0
86900002,2015-08-21 16:07:20,-159.504239386885,22.286009741492,0
86900002,2015-08-21 16:10:20,-159.504115322899,22.2871261288323,0
86900002,2015-08-21 16:13:20,-159.504176194441,22.2878299620902,0
86900002,2015-08-21 16:16:20,-159.512208251371,22.2880796852552,0
86900002,2015-08-21 16:19:20,-159.521468663561,22.2864953477092,0
86900002,2015-08-21 16:22:20,-159.530165923483,22.2825800560107,0
86900002,2015-08-21 16:25:20,-159.539236369561,22.2784244696202,0
86900002,2015-08-21 16:28:20,-159.547171569399,22.2749193949885,0
86900002,2015-08-21 16:31:20,-159.554238544253,22.2689104922791,0
86900002,2015-08-21 16:34:20,-159.562885480067,22.2639374844622,0
86900002,2015-08-21 16:37:20,-159.571497425024,22.2622335202828,0
86900002,2015-08-21 16:40:20,-159.578570978606,22.2591655034151,0
86900002,2015-08-21 16:43:20,-159.586382733808,22.2533644589099,0
86900002,2015-08-21 16:46:20,-159.594542355074,22.2451497831364,0
86900002,2015-08-21 16:49:20,-159.602725012871,22.2366858924038,0
86900002,2015-08-21 16:52:20,-159.611629013846,22.2341507714971,0
86900002,2015-08-21 16:55:20,-159.620829892251,22.2368875799392,0
86900002,2015-08-21 16:58:20,-159.632438051568,22.2386684761373,0
86900002,2015-08-21 17:01:20,-159.643648280703,22.2371489869235,0
86900002,2015-08-21 17:04:20,-159.653475958,22.2342412046852,0
86900002,2015-08-21 17:07:20,-159.662857723087,22.2348166489842,0
86900002,2015-08-21 17:10:20,-159.667698067084,22.2339971802888,0
86900002,2015-08-21 17:13:20,-159.66919146809,22.2357652765852,0
86900002,2015-08-21 17:16:20,-159.669198293166,22.2354883455239,0
86900002,2015-08-21 17:19:20,-159.669141604155,22.2350256145666,0
86900002,2015-08-21 17:22:20,-159.669098479164,22.2345146770798,0
86900002,2015-08-21 17:25:20,-159.669488085952,22.2304348819214,0
86900002,2015-08-21 17:28:20,-159.673408213906,22.2215187245955,0
86900002,2015-08-21 17:31:20,-159.681671692861,22.2198882080835,0
86900002,2015-08-21 17:34:20,-159.690198543902,22.2162656308627,0
86900002,2015-08-21 17:37:20,-159.700620995253,22.2166668564429,0
86900002,2015-08-21 17:40:20,-159.705487504678,22.2123885318249,0
86900002,2015-08-21 17:43:20,-159.709749916835,22.204281348067,0
86900002,2015-08-21 17:46:20,-159.714421780637,22.198214254717,0
86900002,2015-08-21 17:49:20,-159.721771637359,22.196333848027,0
86900002,2015-08-21 17:52:20,-159.73030469151,22.194024421771,0
86900002,2015-08-21 17:55:20,-159.738123225817,22.1902199322756,0
86900002,2015-08-21 17:58:20,-159.743941490357,22.1874402231135,0
86900002,2015-08-21 18:01:20,-159.7461704595,22.1861865801899,0
86900002,2015-08-21 18:04:20,-159.748115106218,22.184268961795,0
86900002,2015-08-21 18:07:20,-159.751898665858,22.1849720761858,0
86900002,2015-08-21 18:10:20,-159.755359105327,22.184408391847,0
86900002,2015-08-21 18:13:20,-159.756210588223,22.1843341620813,0
86900002,2015-08-21 18:16:20,-159.757388009447,22.1843141947352,0
86900002,2015-08-21 18:19:20,-159.760451279196,22.1845420051014,0
86900002,2015-08-21 18:22:20,-159.759151897708,22.1834091120896,0
86900002,2015-08-21 18:25:20,-159.757852544109,22.1822762083884,0
86900002,2015-08-21 18:28:20,-159.756553218398,22.1811432939987,0
86900002,2015-08-21 18:31:20,-159.763448084262,22.181825098942,0
86900002,2015-08-21 18:34:20,-159.771225835637,22.1804150008901,0
86900002,2015-08-21 18:37:20,-159.772729485791,22.1810946687909,0
86900002,2015-08-21 18:40:20,-159.774465827421,22.1820681506508,0
86900002,2015-08-21 18:43:20,-159.777933084684,22.185260390149,0
86900002,2015-08-21 18:46:20,-159.78574836215,22.1873931078947,0
86900002,2015-08-21 18:49:20,-159.787510462946,22.1814360575482,0
86900002,2015-08-21 18:52:20,-159.785262013582,22.173225140833,0
86900002,2015-08-21 18:55:20,-159.783467405029,22.1716253112374,0
86900002,2015-08-21 18:58:20,-159.78294407455,22.1722885691377,0
86900002,2015-08-21 19:01:20,-159.783047370587,22.172194227542,0
86900002,2015-08-21 19:04:20,-159.781934993068,22.1756651854444,0
86900002,2015-08-21 19:07:20,-159.779688789785,22.1792186506196,0
86900002,2015-08-21 19:10:20,-159.777471981064,22.1789051010117,0
86900002,2015-08-21 19:13:20,-159.778646945684,22.1788643176306,0
86900002,2015-08-21 19:16:20,-159.783526142438,22.180539769508,0
86900002,2015-08-21 19:19:20,-159.784981769754,22.1822623856265,0
86900002,2015-08-21 19:22:20,-159.782624478735,22.1835162447278,0
86900002,2015-08-21 19:25:20,-159.782418989525,22.1835747789699,0
86900002,2015-08-21 19:28:20,-159.782245164066,22.1837137566339,0
86900002,2015-08-21 19:31:20,-159.782087236878,22.1838762105177,0
86900002,2015-08-21 19:34:20,-159.782014963347,22.1841374240746,0
